# SCOPE: Archdiocese of Detroit FY24/25 parish workbooks, all 209 parishes. Source: https://restructuring.aod.org/parish-workbooks (filecamp PDFs, published from 2026-03-04). Facts are the AOD's, cited as the AOD's; this compilation CC BY-NC 4.0. Extracted 2026-07-21. Figures FY24/25 unless noted; blanks = not stated in that workbook.
parish,city,planning_area,weekly_mass_attendance,seats_capacity,capacity_utilization_pct,registered_households,baptisms_2024,first_communions_2024,confirmations_2024,marriages_2024,funerals_2024,total_revenue_fy2425,total_expenses_fy2425,net_income_fy2425,unrestricted_savings,cash,endowments,donor_restricted,payable_loans,priests_assigned,savings_per_weekly_attendee,confidence,workbook_url
"St. Edward on the Lake Parish, Lakeport",,,619,400,52,,12,22,0,5,7,1163152,2120131,-956980,273986,,,,0,,443,clean,https://aod.filecamp.com/s/i/M0edaNTO2L4Zs9hg
"St. Elizabeth Ann Seton Parish, Troy",Troy,9,698,817,28,,13,15,10,4,25,1216422,1045579,170842,906374,401785,0,0,0,,1299,partial,https://aod.filecamp.com/s/i/15lXQyVnTOKQqN04
"St. Elizabeth Parish, Detroit",Detroit,3,141,400,35,,9,10,0,2,7,105203,134264,-29060,,100773,0,0,0,,,partial,https://aod.filecamp.com/s/i/Mofhirbtq2dfWO9v
"St. Ephrem Parish, Sterling Heights",,,484,350,46,,8,9,8,0,26,586538,587615,-1077,261319,261319,0,0,0,,540,partial,https://aod.filecamp.com/s/i/of35IQ82DlErgXhS
"St. Fabian Parish, Farmington Hills",,,1245,650,38,,146,31,19,8,46,5060420,4794187,266233,3398306,,,,11995,,2730,partial,https://aod.filecamp.com/s/i/WxRdxzwrtVnHkWyP
"St. Faustina Parish, Warren",,,458,1200,13,480,6,12,11,4,39,536492,610958,-74466,854835,280122,0,0,0,,1866,clean,https://aod.filecamp.com/s/i/COuXx0lhWQCst6u6
"St. Florian Parish, Hamtramck",,,344,1500,6,452,17,6,0,12,25,966459,865792,100668,,568170,,,221645,,,partial,https://aod.filecamp.com/s/i/h05JfSbyYLRr0aLr
"St. Frances Cabrini Parish, Allen Park",,,1144,1200,,1828,38,107,97,7,61,6035433,6237432,-202000,1183304,589920,,0,19342,,1034,partial,https://aod.filecamp.com/s/i/27kHtJi0sy2x2Mgg
"St. Francis D'Assisi-St. Hedwig Parish, Detroit",,,1160,2800,14,550,63,125,75,15,6,801793,800063,1730,2059719,2167906,,81592,0,,1776,partial,https://aod.filecamp.com/s/i/hooBSI4L800SOlBU
"St. Francis of Assisi-St. Maximilian Kolbe Parish, Ray Township",Ray Township,15,537,300,45,770,29,26,27,3,6,1151620,545677,605943,336653,71420,0,0,0,,627,clean,https://aod.filecamp.com/s/i/eJ7jDYmeuZxEQRN1
"St. Gabriel Parish, Detroit",,,1249,700,59,,57,185,109,0,10,961455,536317,425138,1038779,,,0,0,,832,partial,https://aod.filecamp.com/s/i/qVVVw5b3EZOXW4Rp
"St. Gabriel Parish, Ida",,,415,324,43,627,5,8,19,3,23,442406,456119,-13713,397683,108553,,,0,,958,clean,https://aod.filecamp.com/s/i/5Ozbeb3E8SVtYdUo
"St. Genevieve-St. Maurice Parish, Livonia",Livonia,7,486,1170,14,,15,9,14,8,21,849256,1033465,-184209,72145,576221,294598,0,0,,148,partial,https://aod.filecamp.com/s/i/juktfPdJHsVcWN61
"St. Gerald Parish, Farmington",,,541,590,23,722,10,5,16,5,24,544632,537391,7241,1083546,87207,,0,0,,2003,clean,https://aod.filecamp.com/s/i/LwYgsjxazdGos3Rk
"St. Hubert Parish, Harrison Township",,,685,550,42,1313,23,15,10,8,45,1202273,1174837,27435,439260,170562,0,0,0,,641,clean,https://aod.filecamp.com/s/i/U456INAeLkl8HeVV
"St. Hugo of the Hills Parish, Bloomfield Hills",Bloomfield Hills,10,1515,1600,19,3170,89,121,93,40,81,9715700,8615001,1100699,5913112,1512365,10866683,929415,0,,3903,clean,https://aod.filecamp.com/s/i/z7rERlKRM3NbFI7K
"St. Hyacinth Parish, Detroit",Detroit,3,28,500,3,,8,0,0,1,9,162240,132425,29815,,101745,0,0,0,,,partial,https://aod.filecamp.com/s/i/W9UoMVSVnCF3edjT
"St. Irenaeus Parish, Rochester Hills",,,970,800,40,2105,87,60,41,11,59,1797880,1605978,191902,1820681,,501337,0,0,,1877,partial,https://aod.filecamp.com/s/i/hTEgOX2FlyNpFoMh
"St. Isaac Jogues Parish, St. Clair Shores",,,618,950,22,,27,14,45,6,29,2054272,2037136,17135,106522,106522,,172893,31350,,172,partial,https://aod.filecamp.com/s/i/lzJRbYWginFThQZl
"St. Isidore Parish, Macomb Township",,,1968,1300,30,3169,69,112,7,69,68,2333995,2064688,269307,,2332752,0,0,0,,,clean,https://aod.filecamp.com/s/i/g5lVIRMWbxXoYNA1
