# scope: final; corpus: Draugas 1909-2007; generated: 2026-07-19; lane: draugas-parish-registry-1909-2007; gazetteer config-as-truth; +county,+geo_disambiguator (additive); NOT a unified-build ingest input
parish_key,country,city,state,titular_lt,titular_en_key,city_stems,titular_stems,c83_row,cand_idx,status,founded,closed,source,notes,county,geo_disambiguator
lithuanian-church-baltimore-md,US,Baltimore,MD,Unnamed Lithuanian parish,lithuanian church,baltimore|baltimor,,77,,closed,,,canonical-83,,,
providence-of-god-scranton-pa,US,Scranton,PA,Dievo Apvaizdos,providence of god,scranton|skranton,apvaizd,78,17,standing,1913,,canonical-83,,Lackawanna,
sacred-heart-lawrence-ma,US,Lawrence,MA,Saldžiausios Jėzaus Širdies,sacred heart,lawrence,sirdies|szirdies,79,53,closed,1916,2002,canonical-83,,,
st-mary-philadelphia-pa,US,Philadelphia,PA,Šv. Marijos Tautinė Katalikų Parapija,st. mary,philadelphia|filadelfij,marijos,80,34,demolished,1926,,canonical-83,founded from cand-137,,
lithuanian-church-westville-il,US,Westville,IL,LNCC congregation,lithuanian church,westville|vestvil,,81,,demolished,,1969,canonical-83,,Vermilion,
teviske-lithuanian-lutheran-darien-il,US,Darien,IL,Lietuvių Evangelikų Liuteronų Tėviškės Parapija,tėviškė lithuanian lutheran,darien,teviskes|teviszkes,82,100,standing,,,canonical-83,,DuPage,
lithuanian-church-collinsville-il,US,Collinsville,IL,Lithuanian Lutheran Church,lithuanian church,collinsville,,83,,standing,,,canonical-83,,Madison,
st-casimir-montreal-qc,CA,Montreal,QC,Šv. Kazimiero,st. casimir,montreal,kazimier,84,,standing,1907,,canonical-83,,Montréal,
our-lady-of-vilna-montreal-qc,CA,Montreal,QC,Aušros Vartų,our lady of vilna,montreal,ausros|auszros|vartu,85,,standing,1950,,canonical-83,,Montréal,
st-casimir-delhi-on,CA,Delhi,ON,Šv. Kazimiero,st. casimir,delhi,kazimier,86,,closed,,2020,canonical-83,,Norfolk County,
st-joseph-mahanoy-city-pa,US,Mahanoy City,PA,Šv. Juozapo,st. joseph,mahanoy city,juozap,,2,merged,1888,,candidate-137,,Schuylkill,
ss-peter-and-paul-tamaqua-pa,US,Tamaqua,PA,Šv. Petro ir Povilo,ss. peter and paul,tamaqua,povil,,5,standing,1927,,candidate-137,,Schuylkill,
sacred-heart-new-philadelphia-pa,US,New Philadelphia,PA,Švč. Jėzaus Širdies,sacred heart,new philadelphia,sirdies|szirdies,,7,repurposed,,2008,candidate-137,,Schuylkill,near Pottsville
lithuanian-church-middleport-pa,US,Middleport,PA,Lietuvių bažnyčia (unnamed),lithuanian church,middleport,,,8,closed,1948,,candidate-137,,Schuylkill,near Pottsville
st-francis-minersville-pa,US,Minersville,PA,Šv. Pranciškaus,st. francis,minersville,prancisk|pranciszk,,9,closed,1950,2020,candidate-137,,Schuylkill,
st-casimir-st-clair-pa,US,St. Clair,PA,Šv. Kazimiero,st. casimir,st. clair,kazimier,,10,closed,1917,2010,candidate-137,,Schuylkill,near Pottsville
st-michael-shamokin-pa,US,Shamokin,PA,Šv. Mykolo,st. michael,shamokin,mykol|mikol,,12,demolished,,1995,candidate-137,,Northumberland,
ss-peter-and-paul-hazleton-pa,US,Hazleton,PA,Šv. Petro ir Povilo,ss. peter and paul,hazleton,povil,,13,repurposed,1896,2010,candidate-137,,Luzerne,
st-casimir-mcadoo-pa,US,McAdoo,PA,Šv. Kazimiero,st. casimir,mcadoo,kazimier,,14,repurposed,1928,,candidate-137,,Schuylkill,near Hazleton
st-anthony-forest-city-pa,US,Forest City,PA,Šv. Antano,st. anthony,forest city,antan,,15,demolished,,,candidate-137,,Susquehanna,near Carbondale
our-lady-of-vilna-eynon-pa,US,Eynon,PA,Aušros Vartų,our lady of vilna,eynon,ausros|auszros|vartu,,16,demolished,1914,2001,candidate-137,,Lackawanna,near Archbald
st-joseph-duryea-pa,US,Duryea,PA,Šv. Juozapo,st. joseph,duryea,juozap,,21,demolished,,,candidate-137,,Luzerne,near Pittston
